VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
FINATTRMS,Number of rooms in fiishted attic,1,43,Numeric
ATTCHEAT,How much of the attic is warm,1,44,Numeric
PCTATTHT,Portion of the attic is warm,1,45,Numeric
ATTCCOOL,Is the attic air-conditioned,1,46,Numeric
PCTATTCL,Percent of the attic that is air-conditioned,1,47,Numeric
ATTICUSE,Apt occupants have exclusive use of attic,1,48,Numeric
PRKGPLC1,Home has Garage or Carport,1,49,Numeric
GARAGE1C,One-Car attached Garage Present,1,50,Numeric
GARAGE2C,Two-Car attached Garage Present,1,51,Numeric
GARAGE3C,3/More Car attached Garage present,1,52,Numeric
GARGLOC,The garage is detached from or part of the home,1,53,Numeric
GARGHEAT,Is the garage heated,1,54,Numeric
GARGCOOL,Is the garage air-conditioned,1,55,Numeric
PRKGPLC2,Home has a detached Garage or Carport,1,56,Numeric
DGARG1C,Have a 1-car detached garage,1,57,Numeric
DGARG2C,Have a 2-car detached garage,1,58,Numeric
DGARG3C,Have a 3 or more-car detached garage,1,59,Numeric
CARPORT,Covered Carport Present,1,60,Numeric
KOWNRENT,Dwelling owned or rented,1,61,Numeric
HUPROJ,Reside in Public Housing Project,1,62,Numeric
RENTHELP,Household receives a rent subsidy,1,63,Numeric
KOWNCOND,Home is part of a condominium or cooperative,1,64,Numeric
CONDCOOP,If KOWNCOND  is a condominium or cooperative,1,65,Numeric
YEARMADE,Year Home Built,1,66,Numeric
OCCUPY,Moved in After 12-31-98,1,67,Numeric
OCCUPYY,Year Moved into Home,1,68,Numeric
OCCUPYM,Month Moved Into Home,1,69,Numeric
URBRUR,Reported type of neighborhood,1,70,Numeric
UGASHERE,Natural gas from underground pipe available,1,71,Numeric
ZTYPEHUQ,Imputation Flag for TYPEHUQ,1,72,Numeric
ZNUMFLRS,Imputation Flag for NUMFLRS,1,73,Numeric
ZNUMAPTS,Imputation Flag for NUMAPTS,1,74,Numeric
ZWALLTYPE,Imputation Flag for WALLTYPE,1,75,Numeric
ZCNFRMHUQ,Imputation Flag for CNFRMHUQ,1,76,Numeric
ZALTHUQ,Imputation Flag for ALTHUQ,1,77,Numeric
ZREVHUQ,Imputation Flag for REVHUQ,1,78,Numeric
ZORIG1FAM,Imputation Flag for ORIG1FAM,1,79,Numeric
ZLOOKLIKE,Imputation Flag for LOOKLIKE,1,80,Numeric
ZSTUDIO,Imputation Flag for STUDIO,1,81,Numeric
ZONEFLRAPT,Imputation Flag for ONEFLRAPT,1,82,Numeric
ZNAPTFLRS,Imputation Flag for NAPTFLRS,1,83,Numeric
ZSTORIES,Imputation Flag for STORIES,1,84,Numeric
ZTYPEHUQ4,Imputation Flag for TYPEHUQ4,1,85,Numeric
ZBEDROOMS,Imputation Flag for BEDROOMS,1,86,Numeric
ZOTHROOMS,Imputation Flag for OTHROOMS,1,87,Numeric
ZTOTROOMS,Imputation Flag for TOTROOMS,1,88,Numeric
ZNCOMBATH,Imputation Flag for NCOMBATH,1,89,Numeric
ZNHAFBATH,Imputation Flag for NHAFBATH,1,90,Numeric
ZPOTTYAGE,Imputation Flag for POTTYAGE,1,91,Numeric
ZPOTTYLEAK,Imputation Flag for POTTYLEAK,1,92,Numeric
ZPOTTYPARTS,Imputation Flag for POTTYPARTS,1,93,Numeric
ZPOTTYFIX,Imputation Flag for POTTYFIX,1,94,Numeric
ZCELLAR,Imputation Flag for CELLAR,1,95,Numeric
ZCRAWL,Imputation Flag for CRAWL,1,96,Numeric
ZCONCRETE,Imputation Flag for CONCRETE,1,97,Numeric
ZBASEFIN,Imputation Flag for BASEFIN,1,98,Numeric
ZFINBASERMS,Imputation Flag for FINBASERMS,1,99,Numeric
ZBASEHEAT,Imputation Flag for BASEHEAT,1,100,Numeric
ZPCTBSTHT,Imputation Flag for PCTBSTHT,1,101,Numeric
ZBASECOOL,Imputation Flag for BASECOOL,1,102,Numeric
ZPCTBSTCL,Imputation Flag for PCTBSTCL,1,103,Numeric
ZBASEUSE,Imputation Flag for BASEUSE,1,104,Numeric
ZATTIC,Imputation Flag for ATTIC,1,105,Numeric
ZATTICFIN,Imputation Flag for ATTICFIN,1,106,Numeric
ZFINATTRMS,Imputation Flag for FINATTRMS,1,107,Numeric
ZATTCHEAT,Imputation Flag for ATTCHEAT,1,108,Numeric
ZPCTATTHT,Imputation Flag for PCTATTHT,1,109,Numeric
ZATTCCOOL,Imputation Flag for ATTCCOOL,1,110,Numeric
ZPCTATTCL,Imputation Flag for PCTATTCL,1,111,Numeric
ZATTICUSE,Imputation Flag for ATTICUSE,1,112,Numeric
ZPRKGPLC1,Imputation Flag for PRKGPLC1,1,113,Numeric
ZGARAGE1C,Imputation Flag for GARAGE1C,1,114,Numeric
ZGARAGE2C,Imputation Flag for GARAGE2C,1,115,Numeric
ZGARAGE3C,Imputation Flag for GARAGE3C,1,116,Numeric
ZGARGLOC,Imputation Flag for GARGLOC,1,117,Numeric
ZGARGHEAT,Imputation Flag for GARGHEAT,1,118,Numeric
ZGARGCOOL,Imputation Flag for GARGCOOL,1,119,Numeric
ZPRKGPLC2,Imputation Flag for PRKGPLC2,1,120,Numeric
ZDGARG1C,Imputation Flag for DGARG1C,1,121,Numeric
ZDGARG2C,Imputation Flag for DGARG2C,1,122,Numeric
ZDGARG3C,Imputation Flag for DGARG3C,1,123,Numeric
ZCARPORT,Imputation Flag for CARPORT,1,124,Numeric
ZKOWNRENT,Imputation Flag for KOWNRENT,1,125,Numeric
ZHUPROJ,Imputation Flag for HUPROJ,1,126,Numeric
ZKOWNCOND,Imputation Flag for KOWNCOND,1,127,Numeric
ZCONDCOOP,Imputation Flag for CONDCOOP,1,128,Numeric
ZYEARMADE,Imputation Flag for YEARMADE,1,129,Numeric
ZOCCUPY,Imputation Flag for OCCUPY,1,130,Numeric
ZOCCUPYY,Imputation Flag for OCCUPYY,1,131,Numeric
ZOCCUPYM,Imputation Flag for OCCUPYM,1,132,Numeric
ZURBRUR,Imputation Flag for URBRUR,1,133,Numeric
ZUGASHERE,Imputation Flag for UGASHERE,1,134,Numeric
